seq	don	acc	emm	imm	elen	ilen	cost	fit
ch.6453	36	34	100	84	44	59	23	0
ch.5482	42	37	61	41	44	53	14	0
ch.7308	68	31	65	26	59	62	19	2
ch.8305	67	30	46	56	78	75	72	0
ch.5920	71	62	41	33	33	60	72	4
ch.13855	70	10	73	54	71	78	69	0
ch.10007	22	30	79	0	39	82	18	21
ch.10502	62	32	59	63	29	53	81	0
ch.6013	72	28	59	53	22	67	40	0
ch.15609	46	54	48	66	56	32	95	0
ch.16414	62	21	84	66	32	72	64	0
ch.5469	91	32	51	97	40	32	53	0
ch.5912	67	58	52	44	47	55	67	0
ch.13261	74	38	43	28	43	66	56	0
ch.5808	58	33	62	58	48	98	46	0
ch.4944	49	39	31	45	44	61	23	0
ch.13329	54	15	55	27	56	63	61	0
ch.12848	50	21	64	53	44	52	22	0
ch.307	40	24	56	44	66	57	49	0
ch.6560	49	85	53	42	26	76	38	2
ch.12881	80	53	52	31	55	42	30	0
ch.925	56	37	80	23	51	62	13	3
ch.220	53	21	83	45	25	68	16	0
ch.12838	56	34	57	33	47	47	54	0
ch.12839	42	35	61	42	46	53	64	0
ch.15949	49	34	58	42	52	55	49	0
ch.1029	55	48	46	50	40	60	61	0
ch.13336	55	20	63	42	45	73	85	0
ch.5873	63	31	63	48	36	52	21	0
ch.6848	82	61	67	76	42	59	32	2
ch.16418	51	47	63	40	46	68	36	0
ch.12027	58	34	59	49	49	69	99	0
ch.17523	53	24	65	45	44	47	43	0
ch.17459	40	13	59	40	41	42	12	100
ch.1737	66	45	50	47	40	42	92	0
ch.1014	77	43	59	52	55	64	75	0
ch.16489	39	19	48	26	48	68	99	0
ch.17149	84	41	75	45	40	67	29	0
ch.5369	39	48	92	81	81	65	55	0
ch.16587	92	49	77	63	17	63	67	0
ch.5319	47	61	51	42	40	58	82	0
ch.16589	74	25	68	87	27	69	87	0
ch.6373	70	32	53	44	59	63	55	0
ch.11134	53	30	46	34	60	68	39	0
ch.242	19	43	47	22	38	88	28	0
ch.12343	43	34	75	42	53	9	48	30
ch.13246	78	80	75	48	26	47	61	0
ch.218	59	72	77	57	30	41	62	0
ch.1506	62	32	60	45	40	56	28	5
ch.9640	34	52	71	61	2	97	71	1
ch.13710	75	26	61	46	35	54	43	0
ch.6676	51	33	65	48	57	52	18	2
ch.11939	49	33	46	46	40	30	59	0
ch.8690	51	24	58	47	38	59	45	1
ch.17157	81	36	68	25	17	79	38	0
ch.17433	71	35	64	36	46	60	71	0
ch.8331	66	46	58	36	43	72	25	1
ch.16221	68	34	73	93	22	45	82	0
ch.8609	83	73	54	70	56	39	52	0
ch.12337	70	32	50	32	39	59	28	0
ch.12834	44	42	52	44	50	56	65	0
ch.17457	94	26	35	78	14	70	89	0
ch.521	59	32	54	52	42	48	96	0
ch.635	57	48	70	40	30	56	74	0
ch.5716	55	45	53	62	44	55	79	0
ch.16222	77	36	63	51	32	64	67	0
ch.246	42	28	46	28	41	66	20	0
ch.10441	99	77	56	41	51	57	77	0
ch.6154	64	28	60	62	54	45	37	0
ch.11159	50	16	50	35	45	34	31	6
ch.6301	40	55	62	44	46	64	70	0
ch.8979	48	36	55	47	38	61	34	0
ch.16223	68	28	31	80	59	40	60	24
ch.9610	65	79	97	68	53	65	78	0
ch.16600	44	26	45	50	43	83	88	0
ch.1620	60	30	55	63	51	47	65	0
ch.6842	72	46	77	100	40	51	28	0
ch.735	71	32	43	74	12	53	72	1
ch.17150	88	32	64	84	31	62	59	0
ch.300	74	30	61	42	57	66	64	0
ch.17460	71	45	52	89	28	75	67	0
ch.6986	32	73	77	69	23	65	96	28
ch.11416	48	59	64	37	28	56	86	0
ch.17456	67	64	58	66	27	78	69	0
ch.16475	54	43	56	36	35	50	83	0
ch.7476	56	48	48	32	37	57	38	0
ch.4118	49	27	65	48	41	66	89	0
ch.2797	28	29	76	38	39	53	10	1
ch.17198	52	44	70	70	35	71	46	0
ch.4897	65	66	69	50	22	89	71	0
ch.7806	73	27	51	28	57	75	69	0
ch.15178	53	30	51	26	27	50	44	0
ch.5419	69	60	61	46	39	41	90	0
ch.1712	43	25	49	36	47	50	12	33
ch.4655	47	47	87	37	70	58	10	2
ch.12583	54	25	57	34	30	38	14	17
ch.1028	56	29	68	44	44	73	57	0
ch.11434	47	44	52	56	42	56	48	0
ch.11977	42	22	63	42	27	49	31	0
ch.9247	62	12	62	44	46	56	70	2
ch.7707	40	24	55	36	34	55	17	0
ch.662	42	31	56	29	40	66	96	0
ch.13441	80	47	46	30	72	7	58	0
ch.13887	92	50	57	46	17	53	83	1
ch.13096	84	70	54	12	41	78	68	0
ch.15471	21	55	44	42	73	85	79	0
ch.16995	78	44	52	53	42	67	94	0
ch.4980	33	39	66	69	51	62	31	0
ch.3671	43	19	55	36	47	68	15	3
ch.1545	58	40	71	45	14	59	13	0
ch.3726	70	54	56	62	50	74	22	5
ch.6284	78	28	45	62	35	37	96	3
ch.7191	73	34	68	47	31	42	57	0
ch.16378	38	24	78	46	34	37	88	10
ch.6273	42	24	56	38	44	48	18	41
ch.147	50	17	55	36	44	63	18	1
ch.2416	45	52	46	27	56	83	21	8
ch.6260	66	76	81	42	27	60	70	4
ch.7306	73	38	70	49	38	32	81	0
ch.16796	69	25	48	45	68	39	17	2
ch.2557	31	27	59	41	82	41	42	77
ch.8055	37	21	58	48	45	53	34	3
ch.1458	51	49	53	43	52	45	66	0
ch.4364	76	86	53	33	26	69	87	0
ch.8266	67	61	84	39	60	36	93	0
ch.5061	57	38	50	34	24	46	48	0
ch.1226	63	45	61	35	30	63	65	0
ch.17155	82	52	73	26	42	73	42	0
ch.7395	55	47	54	41	31	53	24	26
ch.2482	51	50	59	36	30	32	46	0
ch.6338	52	29	68	36	36	60	16	1
ch.1815	50	21	65	36	39	49	13	1
ch.6271	80	25	59	52	65	70	50	0
ch.9281	64	44	49	46	37	56	31	0
ch.15762	43	27	70	49	57	69	29	0
ch.15431	34	35	60	49	28	71	93	0
ch.4163	60	26	37	25	41	72	32	2
ch.920	72	39	55	34	40	55	73	0
ch.12165	61	71	84	69	23	68	44	0
ch.6962	65	57	64	46	63	57	87	0
ch.12375	55	28	65	38	47	60	14	1
ch.12942	67	39	63	69	33	63	50	0
ch.12238	53	26	58	40	26	59	24	6
ch.14319	52	64	64	63	61	48	93	0
ch.9221	50	70	23	35	64	83	33	7
ch.8914	53	28	80	74	48	45	87	0
ch.591	89	65	52	40	36	92	64	0
ch.16618	53	47	62	44	45	61	61	0
ch.6337	41	22	61	41	42	74	34	2
ch.4495	67	48	79	27	53	79	8	0
ch.7402	78	40	62	47	56	51	55	0
ch.10104	37	49	58	16	62	54	10	50
ch.7124	35	50	52	52	32	97	32	0
ch.17458	29	19	62	54	40	97	51	15
ch.13801	60	34	39	74	45	45	92	0
ch.9571	43	30	60	37	35	57	65	6
ch.10634	58	18	58	39	41	56	57	1
ch.3772	76	61	54	36	56	25	48	0
ch.14082	45	18	63	39	72	63	14	4
ch.197	64	57	61	64	45	68	25	1
ch.7978	52	47	52	45	34	46	84	1
ch.7079	63	49	64	25	42	63	52	0
ch.6772	51	56	73	54	26	53	86	0
ch.9976	64	31	54	64	48	48	55	0
ch.12336	59	39	63	60	50	75	70	0
ch.5521	67	28	51	38	25	54	38	0
ch.6532	60	36	56	76	25	35	61	0
ch.7654	45	38	63	42	17	51	18	44
ch.5928	45	40	43	55	35	57	28	1
ch.2675	31	61	55	41	36	74	48	0
ch.12312	72	37	44	36	61	18	19	5
ch.5594	90	39	28	35	25	59	74	0
ch.7741	59	27	58	46	42	68	82	0
ch.7248	40	23	47	60	37	51	13	14
ch.14054	27	35	83	64	43	70	16	1
ch.7280	30	41	84	75	33	99	2	4
ch.16227	46	17	54	35	58	69	71	2
ch.13852	75	40	80	42	34	72	16	5
ch.945	71	48	62	19	53	54	83	0
ch.7715	68	52	46	55	64	32	47	3
ch.16802	52	40	56	39	43	58	68	2
ch.11351	66	26	48	56	37	77	27	0
ch.3551	68	79	75	52	34	40	97	0
ch.7779	50	73	50	30	42	66	17	3
ch.10470	48	29	62	42	34	72	94	0
ch.13904	43	34	59	48	34	69	65	0
ch.1257	35	30	69	43	44	58	18	28
ch.17003	40	18	57	38	44	71	57	0
ch.8597	42	40	57	41	35	57	19	20
ch.2798	63	23	53	36	33	64	45	0
ch.10195	50	33	41	41	50	86	26	3
ch.1154	60	65	53	77	32	47	17	6
ch.137	57	64	61	28	52	41	92	0
ch.11234	47	35	83	14	55	29	30	0
ch.4894	70	30	70	39	32	26	95	0
ch.6965	86	54	66	48	38	56	15	5
ch.13649	48	25	56	61	31	63	68	0
ch.4509	37	16	60	42	51	41	10	23
ch.6959	35	85	93	33	20	50	90	31
ch.8699	36	19	56	44	47	79	49	0
ch.3973	54	34	54	41	38	54	23	3
ch.3099	56	34	60	38	35	58	22	10
ch.16085	51	25	59	41	19	52	93	9
ch.4071	78	56	72	60	52	44	65	0
ch.15085	82	58	62	45	39	51	65	0
ch.11742	59	24	60	51	59	22	39	0
ch.6963	59	60	94	75	78	63	78	0
ch.7579	44	18	78	41	56	61	12	2
ch.13088	30	34	60	60	0	50	55	19
ch.1156	72	61	62	45	44	64	91	0
ch.13644	50	61	65	41	45	20	40	0
ch.7687	58	40	55	34	15	56	59	8
ch.5235	52	32	51	50	55	53	61	0
ch.9027	36	31	58	38	43	41	87	20
ch.9942	46	40	70	52	35	59	28	0
ch.5776	53	26	60	79	41	55	17	0
ch.991	72	53	51	53	43	42	57	0
ch.730	43	27	66	46	60	57	18	1
ch.4919	67	52	64	72	33	42	26	3
ch.1066	81	50	59	52	40	44	89	0
ch.15970	45	15	55	37	34	67	49	2
ch.7253	77	45	77	85	45	16	48	0
ch.7238	59	47	69	38	38	41	31	0
ch.15699	68	27	53	48	77	64	9	34
ch.1004	43	16	49	38	46	61	36	1
ch.13135	20	15	76	52	34	58	15	0
ch.4275	46	44	57	39	38	61	95	0
ch.11346	71	25	58	60	39	72	25	0
ch.4532	46	46	52	39	37	71	49	0
ch.9325	44	31	73	56	43	60	16	5
ch.13640	43	25	68	61	32	68	18	0
ch.9613	70	54	68	61	37	29	64	0
ch.3585	65	40	54	32	48	79	40	0
ch.924	60	38	62	61	34	63	31	0
ch.2023	54	27	56	33	36	53	23	36
ch.4056	48	20	55	35	47	71	34	0
ch.12327	49	37	59	50	27	70	24	0
ch.1095	62	25	60	40	32	57	20	4
ch.5903	79	58	63	43	50	21	98	4
ch.9450	22	41	49	35	45	86	60	2
ch.8610	69	64	57	36	28	45	80	1
ch.6711	46	27	57	39	40	49	44	0
ch.5142	41	15	59	35	24	52	9	24
ch.2569	58	39	60	29	35	47	100	0
ch.12263	85	54	52	45	39	46	100	0
ch.10473	52	19	60	34	43	59	22	0
ch.9295	36	21	55	38	57	59	18	10
ch.16351	46	42	69	28	36	61	14	0
ch.11202	59	62	71	49	55	52	13	7
ch.3664	57	16	58	41	46	53	18	10
ch.9106	58	30	54	32	30	48	22	3
ch.7475	66	27	61	59	33	63	38	0
ch.1407	71	30	52	47	37	74	86	0
ch.1423	65	54	59	67	50	48	37	0
ch.7137	53	75	71	20	39	64	10	7
ch.7913	73	38	57	33	53	33	13	4
ch.6302	66	30	59	37	29	66	26	1
ch.2224	51	38	45	37	47	51	77	0
ch.9082	71	44	69	59	19	45	93	7
ch.5160	63	50	55	47	34	52	57	0
ch.5162	62	29	61	41	30	46	38	0
ch.9646	63	49	57	43	50	48	98	0
ch.4884	40	60	66	33	68	26	73	52
ch.16195	45	25	60	41	30	56	18	2
ch.7513	69	23	61	56	29	74	30	0
ch.16706	46	31	61	41	24	50	16	1
ch.8668	60	42	0	22	39	63	67	4
ch.14334	51	38	53	43	42	42	37	0
ch.14176	61	52	80	28	64	72	19	2
ch.11659	43	27	52	37	32	49	14	1
ch.7250	68	61	59	41	36	40	42	0
ch.10781	70	10	80	56	37	61	91	0
ch.1322	47	40	30	50	34	55	31	1
ch.4518	76	46	56	27	36	77	40	0
ch.9861	57	25	63	32	30	67	23	0
ch.9273	17	46	75	54	37	80	19	2
ch.11265	37	20	50	48	42	70	17	11
ch.4810	47	18	55	41	28	58	19	3
ch.2543	31	28	58	47	41	66	67	0
ch.10800	34	64	54	28	44	53	11	8
ch.11154	89	55	64	55	22	72	96	0
ch.386	86	62	75	48	60	32	53	0
ch.13307	61	23	62	56	7	38	26	3
ch.5508	70	34	58	71	46	22	99	0
ch.17240	71	27	75	61	49	69	98	0
ch.13201	51	42	54	32	34	63	59	5
ch.15318	81	35	38	33	66	66	98	4
ch.913	0	88	88	29	26	76	41	0
ch.9622	42	23	60	43	55	48	18	1
ch.9422	67	33	55	53	60	46	20	4
ch.12837	57	21	65	31	44	56	96	0
ch.9636	50	24	65	39	44	39	7	6
ch.6794	46	18	54	48	68	60	25	14
ch.922	70	39	64	29	32	47	38	0
ch.2026	66	29	59	59	71	61	42	0
ch.9331	54	38	54	45	59	70	17	5
ch.8470	46	28	55	32	23	61	37	0
ch.6841	47	32	43	39	27	47	49	0
ch.11186	54	30	30	90	60	23	85	0
ch.1155	61	45	47	42	48	37	58	2
ch.15314	55	44	47	52	27	45	29	0
ch.9102	45	23	49	39	45	70	23	41
ch.9935	38	25	53	43	47	47	19	27
ch.14230	58	40	68	58	35	70	93	0
ch.6102	53	36	59	40	38	55	21	3
ch.7113	50	61	68	28	36	66	85	1
ch.6122	57	36	64	51	37	41	14	16
ch.1194	41	36	80	57	36	48	17	0
ch.1710	44	46	51	44	28	77	43	4
ch.16046	75	42	56	41	31	21	21	3
ch.12597	63	15	48	44	33	42	38	9
ch.15678	60	63	48	45	40	73	78	0
ch.6447	68	31	56	26	35	50	51	17
ch.4814	88	48	64	57	43	30	72	0
ch.14181	57	43	27	54	45	84	84	0
ch.6452	48	21	51	32	34	61	17	3
ch.12125	68	36	60	40	42	55	44	0
ch.5477	63	32	61	48	31	56	79	0
ch.7328	61	14	56	25	45	61	17	1
ch.16306	42	58	52	36	27	70	58	0
ch.13310	53	40	67	42	36	40	20	3
ch.1224	66	10	42	73	8	46	66	45
ch.6852	45	29	66	51	67	68	2	3
ch.7629	79	47	72	56	50	59	63	0
ch.10219	55	34	57	44	65	51	17	1
ch.3316	61	69	74	37	39	76	18	5
ch.8306	43	30	53	41	32	47	18	0
ch.1439	71	33	63	42	52	30	89	15
ch.1818	66	50	56	54	36	30	13	5
ch.9493	50	26	62	42	50	46	20	10
ch.8933	53	68	79	38	53	76	23	5
ch.10991	59	65	58	41	37	65	46	0
ch.7870	57	23	65	52	46	46	60	1
ch.4066	85	50	61	50	55	32	72	0
ch.10005	59	29	66	35	47	53	24	0
ch.4134	64	21	65	48	45	45	84	0
ch.11347	56	31	58	47	43	48	68	0
ch.11233	50	17	58	39	46	56	44	0
ch.6558	75	35	68	60	29	31	59	0
ch.16619	45	28	52	44	40	74	75	0
ch.4162	44	39	53	34	42	53	27	43
ch.6607	45	18	64	42	42	46	10	20
ch.16987	43	35	61	50	22	35	10	5
ch.14414	50	51	56	35	50	41	71	0
ch.5654	40	33	83	53	23	27	62	42
ch.16417	32	33	78	86	55	35	86	0
ch.3826	55	40	55	40	62	40	61	0
ch.4809	60	30	38	30	28	85	20	2
ch.4537	74	36	68	66	75	54	94	0
ch.10420	44	58	50	40	39	43	40	3
ch.2024	68	39	43	52	63	34	13	4
ch.13308	52	54	65	68	22	52	53	0
ch.5428	46	28	70	53	44	62	15	4
ch.10917	72	36	55	53	40	40	38	0
ch.12229	44	18	48	36	44	51	37	2
ch.4190	70	55	79	74	47	37	13	2
ch.17560	63	39	49	66	36	54	98	0
ch.10191	86	50	72	69	54	35	84	0
ch.12552	49	22	63	51	28	52	20	2
ch.4790	51	21	56	34	30	54	15	0
ch.12840	58	20	63	32	32	56	94	0
ch.1625	54	51	46	34	38	60	40	1
ch.1457	64	34	50	36	50	39	25	0
ch.5656	52	47	67	45	30	65	19	0
ch.17800	78	40	62	24	26	73	29	0
ch.1434	53	48	48	44	40	46	69	0
ch.3403	56	35	76	82	24	58	18	1
ch.992	58	63	45	46	40	48	71	0
ch.9405	51	31	62	46	45	45	38	0
ch.16701	81	24	64	51	36	46	90	0
ch.11350	56	31	57	46	49	48	70	0
ch.196	68	43	80	71	63	78	16	1
ch.13727	45	20	58	35	41	53	16	6
ch.902	55	34	52	35	61	57	18	9
ch.15171	45	22	55	37	52	62	59	1
ch.15867	57	20	69	54	41	58	33	0
ch.1749	37	27	51	31	8	43	40	25
ch.3315	47	21	74	50	27	59	14	12
ch.10215	55	28	44	56	48	64	36	0
ch.1414	55	26	65	41	41	50	18	6
ch.13447	41	26	59	39	29	51	28	0
ch.13626	69	36	53	42	41	38	50	0
ch.13292	43	56	65	53	20	75	44	0
ch.10759	30	30	82	65	35	60	86	0
ch.15835	45	48	56	76	36	62	35	7
ch.15864	62	28	68	72	36	69	41	0
ch.2511	52	16	59	43	40	53	51	1
ch.7040	44	34	53	35	54	46	22	48
ch.9596	49	11	41	59	35	91	86	4
ch.5869	55	36	63	43	31	46	85	0
ch.4970	69	36	57	78	34	73	32	9
ch.11703	65	84	72	44	43	73	9	11
ch.7418	49	30	59	42	31	47	17	0
ch.7348	45	20	58	30	17	73	43	0
ch.3457	49	32	62	35	63	47	18	5
ch.13733	42	19	60	40	55	56	17	17
ch.1188	41	43	60	36	47	0	14	2
ch.8772	51	67	59	39	42	57	38	0
ch.3505	37	61	61	34	35	67	71	1
ch.9569	43	63	21	53	61	42	14	5
ch.9401	74	54	77	82	31	80	30	0
ch.8633	4	56	40	40	34	97	51	0
ch.4798	54	25	67	52	30	53	17	0
ch.7317	65	26	61	41	37	60	25	0
ch.4914	95	45	43	33	46	51	15	5
ch.6561	65	51	61	51	37	39	32	0
ch.16505	62	28	55	44	8	75	47	4
ch.13282	55	71	52	34	37	55	6	29
ch.17019	62	46	53	35	22	55	17	16
ch.17315	53	30	66	70	39	59	19	2
ch.7486	39	21	61	47	50	66	23	4
ch.12087	44	49	58	35	44	53	52	2
ch.2154	48	37	61	42	49	59	53	0
ch.7646	62	60	41	49	37	35	21	4
ch.6393	58	23	55	37	40	57	95	0
ch.6647	79	53	24	34	33	73	2	5
ch.6385	45	16	54	42	27	77	24	10
ch.1796	47	29	61	41	27	58	47	42
ch.8836	35	34	53	32	31	56	18	51
ch.9474	62	30	55	40	37	32	75	35
ch.7855	45	40	57	45	54	60	34	0
ch.13638	56	62	53	45	11	87	90	0
ch.4964	39	17	55	62	61	49	17	6
ch.3351	31	36	55	39	28	81	9	7
ch.14694	74	30	77	68	60	42	44	0
ch.1219	50	15	58	34	36	65	23	0
ch.15899	48	28	61	43	34	47	13	3
ch.1584	43	27	62	42	30	53	1	15
ch.7394	29	36	74	92	37	71	68	21
ch.7619	39	31	54	37	28	63	76	0
ch.5393	59	31	53	36	37	74	31	1
ch.2470	76	36	50	59	45	74	23	3
ch.8764	18	41	57	37	27	72	57	1
ch.6476	47	83	52	38	71	7	73	56
ch.13576	72	34	55	38	30	62	45	0
ch.8112	61	42	48	40	51	65	41	2
ch.9041	35	9	54	36	44	48	4	98
ch.1422	48	35	52	34	32	62	92	2
ch.7542	80	38	68	51	37	39	20	0
ch.16919	64	32	69	46	27	60	16	9
ch.7640	88	37	46	47	32	69	48	0
ch.4998	58	38	66	41	41	67	30	0
ch.8600	76	46	46	19	46	58	33	7
ch.9762	51	23	51	45	27	66	18	1
ch.12341	47	59	60	40	42	44	43	1
ch.10343	63	30	59	49	48	76	0	3
ch.9872	25	50	84	69	31	72	78	0
ch.6235	47	23	59	42	38	69	29	0
ch.2398	77	32	48	56	34	38	100	0
ch.14035	45	40	60	41	18	50	22	2
ch.16315	68	22	73	43	32	33	18	1
ch.9088	58	30	54	38	51	63	97	11
ch.13278	47	28	53	37	40	57	18	22
ch.1716	62	38	59	35	45	60	68	0
ch.6751	39	34	52	30	36	65	24	3
ch.6418	41	49	63	45	37	62	21	5
ch.1380	51	70	68	34	41	70	96	1
ch.9345	47	47	74	52	46	76	8	0
ch.4529	53	47	39	30	36	54	27	1
ch.9198	54	21	59	42	25	53	27	1
ch.9946	41	33	58	41	34	52	22	0
ch.4289	48	31	58	49	23	42	14	6
ch.8562	61	56	65	43	54	68	54	0
ch.593	53	48	48	63	37	53	22	2
ch.3708	70	32	56	52	46	62	74	0
ch.11278	63	36	56	72	37	74	43	0
ch.52	48	29	60	50	25	53	17	1
ch.4397	48	34	65	48	42	33	59	0
ch.3872	37	22	59	37	46	74	91	3
ch.9938	87	51	54	33	84	42	72	45
ch.8377	62	39	56	48	42	63	66	0
ch.7429	38	45	49	42	40	51	42	1
ch.15129	68	67	59	42	63	51	0	15
ch.4519	64	32	56	47	55	97	18	7
ch.1073	47	19	62	45	62	62	21	11
ch.519	53	28	59	51	57	27	99	0
ch.12548	47	27	52	50	47	34	48	0
ch.8318	62	31	62	45	67	44	23	0
ch.10061	59	27	59	41	24	64	19	0
ch.3543	67	32	57	31	30	69	31	1
ch.4131	41	18	49	51	42	47	27	6
ch.5367	36	48	62	55	33	61	46	0
ch.11349	54	28	46	48	43	47	23	1
ch.13477	78	45	49	29	66	68	0	4
ch.12970	45	32	67	46	23	55	17	5
ch.17448	71	50	71	44	34	52	96	0
ch.11449	39	36	63	38	30	66	21	8
ch.8153	36	32	68	42	38	64	14	4
ch.12939	72	46	57	83	33	40	85	0
ch.4098	47	21	58	48	32	70	11	8
ch.13947	67	56	76	86	32	69	45	0
ch.15180	44	18	62	39	37	54	22	4
ch.2025	64	26	49	49	32	53	94	0
ch.4391	35	37	47	36	44	61	21	44
ch.7281	53	71	67	57	44	77	10	3
ch.16759	43	43	64	65	17	32	13	4
ch.499	49	24	61	42	29	52	15	1
ch.12560	59	43	57	57	61	20	78	0
ch.6770	50	21	77	49	43	52	17	5
ch.10474	36	30	61	45	29	57	13	12
ch.8928	48	37	75	85	40	58	29	1
ch.545	37	19	55	43	27	67	15	3
ch.16804	66	46	57	46	49	44	24	13
ch.11878	67	24	51	30	33	37	11	16
ch.9927	47	38	62	59	57	29	17	1
ch.5606	37	28	62	45	22	66	53	1
ch.17633	55	60	54	50	36	38	30	0
ch.14366	40	45	92	64	75	55	100	4
ch.1582	43	13	57	52	50	66	15	8
ch.5225	65	18	63	47	30	60	17	4
ch.8336	49	57	56	54	50	44	62	0
ch.12095	50	82	60	50	29	51	48	0
ch.9848	56	49	56	38	34	54	94	0
ch.2505	71	38	30	83	56	26	57	0
ch.9790	81	20	49	58	41	73	37	0
ch.15409	42	21	70	49	42	71	15	3
ch.12954	70	51	46	53	44	52	31	0
ch.13445	45	45	63	40	27	63	73	0
ch.13323	49	22	55	28	32	55	97	3
ch.10491	78	93	76	46	41	54	9	3
ch.13911	69	74	48	51	25	49	85	32
ch.6648	62	19	45	54	38	28	57	0
ch.6299	43	45	52	18	35	84	8	3
ch.1337	34	17	59	42	31	63	4	15
ch.1468	67	25	51	49	43	71	32	1
ch.4095	58	42	53	46	47	83	0	2
ch.1017	48	27	78	30	40	70	62	0
ch.7743	35	37	74	66	100	31	63	1
ch.5529	68	51	56	45	59	75	17	13
ch.5226	47	45	39	40	76	73	7	33
ch.5474	63	43	45	91	66	61	93	0
ch.6378	60	30	57	34	47	52	39	2
ch.10860	53	39	65	49	31	41	23	1
ch.4099	69	38	75	74	20	33	47	0
ch.3569	81	30	57	60	50	64	34	0
ch.4931	40	29	62	40	49	55	7	15
ch.12172	32	30	51	39	35	57	15	17
ch.3613	47	32	60	37	45	50	15	11
ch.722	53	56	71	49	25	31	10	7
ch.13712	46	11	59	40	35	71	31	0
ch.3734	53	29	67	33	43	54	21	0
ch.13820	91	61	67	37	41	58	3	9
ch.5750	61	26	43	42	40	30	23	3
ch.9669	72	66	54	53	54	81	1	4
ch.4476	39	83	72	47	22	67	93	21
ch.434	40	29	57	53	24	61	45	0
ch.8063	49	56	73	61	31	78	8	11
ch.4241	43	37	57	27	46	81	7	6
ch.9017	38	34	66	43	43	63	94	0
ch.1293	72	56	65	65	33	39	97	0
ch.4744	59	36	51	45	27	60	26	2
ch.6210	45	47	58	36	40	53	29	0
ch.9812	58	49	56	38	34	42	67	84
ch.996	46	56	70	56	49	53	20	10
ch.11071	53	31	60	38	42	29	17	9
ch.12940	65	48	26	82	35	50	66	0
ch.9163	59	34	68	53	47	63	20	0
ch.356	56	52	58	52	18	48	26	5
ch.7574	51	28	55	41	37	60	26	0
ch.6712	82	65	47	47	62	47	75	0
ch.16038	42	32	55	40	31	63	20	14
ch.6245	48	60	62	33	24	84	49	6
ch.12558	44	31	68	46	39	44	24	2
ch.1616	39	25	59	38	26	69	18	1
ch.40	56	45	46	24	25	76	10	21
ch.8204	48	25	61	41	23	66	21	1
ch.7188	63	64	74	58	41	80	1	8
ch.15250	59	23	56	41	58	51	58	35
ch.1064	44	38	72	61	34	79	9	4
ch.3969	50	22	71	39	47	58	49	0
ch.1601	51	37	59	55	35	69	24	1
ch.16570	62	57	56	56	28	87	9	8
