# id	length	introns	RNAseq	isoforms
ch.1872	679	1	215483	8643
ch.7817	597	1	21739000	8884
ch.862	732	1	142499	9425
ch.19518	635	1	244515	9638
ch.363	732	1	2050210	9699
ch.19880	620	1	236792	9705
ch.7979	664	1	708933	9787
ch.13039	760	1	133156	10553
ch.19876	647	1	127891	11016
ch.18744	605	1	9048060	11044
ch.8525	708	1	373357	11211
ch.4725	736	1	417122	11255
ch.3235	847	2	418269	11350
ch.19581	733	1	179309	11569
ch.5594	737	1	103116	11751
ch.8895	658	1	2219720	11771
ch.17244	826	1	165250	12038
ch.6178	786	1	373585	12307
ch.1976	663	2	145232	12712
ch.5331	780	2	416830	12719
ch.14334	720	2	101041	12763
ch.1200	801	1	1501530	13132
ch.13058	677	1	682885	13187
ch.13655	688	1	119390	13211
ch.10553	760	0	598775	13350
ch.8786	817	2	572246	13443
ch.779	735	2	685191	13785
ch.15294	653	1	2073520	13916
ch.15795	778	1	235149	14271
ch.14905	713	1	1294640	14405
ch.17584	659	1	106710	14513
ch.19350	620	1	376329	14603
ch.5684	779	1	681403	14781
ch.4214	674	2	299659	14859
ch.1786	742	2	158787	14895
ch.4277	805	2	111699	15103
ch.7184	855	1	205249	15363
ch.8209	732	1	398121	15385
ch.18626	705	1	142283	15569
ch.7172	752	1	364958	16166
ch.174	788	2	4473820	16730
ch.2784	650	2	1269480	16863
ch.7157	697	1	119746	17058
ch.8339	795	1	1728840	17891
ch.19116	708	2	2372950	18075
ch.2947	712	1	307510	18104
ch.9180	833	1	616191	18277
ch.1686	716	1	376427	18401
ch.5016	768	1	244146	18560
ch.9431	744	0	197285	18898
ch.5773	754	1	273817	19187
ch.1425	776	2	128731	20025
ch.19523	688	1	218483	20175
ch.8433	756	2	3698550	20207
ch.7249	693	2	342021	20389
ch.2096	777	2	1260880	20917
ch.7170	708	1	233258	21365
ch.10589	813	1	161561	21645
ch.17917	721	1	293210	21788
ch.17537	806	2	508210	22090
ch.4775	735	2	1080880	23470
ch.1072	834	1	954598	23573
ch.13865	747	2	357603	23623
ch.7952	734	1	936446	23967
ch.14110	888	3	163388	24638
ch.14737	703	1	2038000	24994
ch.13952	683	2	147818	25026
ch.16275	705	1	842211	25401
ch.10525	745	2	566128	25834
ch.700	838	1	140611	26912
ch.18914	813	1	154712	27180
ch.7248	693	2	339574	27339
ch.5160	770	2	396177	27387
ch.8440	691	1	722031	28098
ch.11535	775	2	126667	28242
ch.8133	685	1	316575	28734
ch.19878	690	1	133181	28814
ch.15703	838	1	3814740	28851
ch.10908	925	2	1803020	28958
ch.12136	821	1	524406	29394
ch.4330	723	1	351213	29606
ch.16012	683	2	154889	29789
ch.241	776	2	455172	29877
ch.9091	733	2	495742	29926
ch.8085	783	1	658908	30117
ch.7741	841	0	765929	30213
ch.11381	719	1	679009	30478
ch.14064	665	1	899297	30571
ch.6294	721	1	630349	31126
ch.7464	767	1	858095	31270
ch.8729	1026	2	382364	31275
ch.6768	707	2	148459	31818
ch.3092	844	2	4125490	31836
ch.14037	800	2	162135	33051
ch.6382	823	1	17627100	33391
ch.8825	760	1	1629280	33579
ch.15982	780	2	483497	34326
ch.8309	813	3	501101	34739
ch.18456	716	2	207768	34860
ch.15756	746	2	1949400	35309
ch.1101	846	1	348055	35397
ch.8797	1009	2	245036	35544
ch.19123	853	2	636538	35738
ch.12966	702	1	9650150	36167
ch.4082	712	1	3763410	36863
ch.8865	792	1	454313	37261
ch.11936	698	2	248687	37517
ch.15816	772	1	824891	37878
ch.1461	795	3	372245	39843
ch.19358	757	2	589129	40247
ch.3236	811	1	159267	40437
ch.11635	740	2	342901	40685
ch.1340	929	2	311168	40812
ch.162	776	1	1656890	41297
ch.12830	898	1	1683760	41694
ch.5591	800	1	5636470	43063
ch.7955	705	2	1912090	43717
ch.15533	827	1	1275460	44049
ch.5175	849	2	2076400	44293
ch.7949	713	1	16999300	44351
ch.9940	823	1	345995	44602
ch.4560	834	3	887487	44872
ch.3571	920	2	162101	45142
ch.18292	971	2	183275	46265
ch.4671	714	1	120067	46668
ch.17137	861	1	157432	46709
ch.13395	768	1	1622640	46842
ch.8639	796	2	828555	48725
ch.14896	899	0	144967	48776
ch.1342	892	1	1986340	49820
ch.15526	774	0	2873300	50738
ch.8764	909	2	109145	51005
ch.5964	817	1	153070	51233
ch.10307	861	0	5800990	51349
ch.11340	793	1	1897220	51772
ch.6598	834	2	5278400	51927
ch.1157	746	1	3507470	52157
ch.857	834	2	211673	54158
ch.5618	755	2	145129	55699
ch.1242	825	1	2616650	57210
ch.18160	859	2	2375720	57479
ch.8278	820	1	528825	57681
ch.17852	886	2	184379	58820
ch.1172	831	2	490571	58905
ch.14947	824	2	649901	58981
ch.4912	785	2	577136	59353
ch.12961	729	1	9836730	59601
ch.5200	768	2	825411	59720
ch.10638	830	2	458925	59867
ch.15522	737	2	256042	59940
ch.10958	760	1	156074	60504
ch.4119	742	1	1409250	60635
ch.1076	842	1	684439	61061
ch.2330	826	2	5179870	62381
ch.4655	781	2	470854	63841
ch.14052	755	1	261903	63998
ch.1274	822	2	1286470	64667
ch.6739	926	1	811640	64671
ch.10774	757	1	670343	65513
ch.9833	943	1	100282	65720
ch.7672	841	2	505427	66095
ch.5863	860	2	466559	66178
ch.2962	758	1	784246	66192
ch.13981	693	1	852236	66278
ch.11939	755	2	171489	66501
ch.10604	809	1	404096	67116
ch.18594	825	3	131145	68472
ch.12795	930	1	119689	68981
ch.4206	756	2	143915	69236
ch.10399	732	2	265446	69872
ch.8524	837	1	3375380	70548
ch.1627	723	1	2090560	70622
ch.1647	783	1	1150860	71005
ch.8150	991	2	226538	71356
ch.9018	854	2	652839	71881
ch.7207	762	2	416375	73449
ch.2559	759	1	5238140	73570
ch.10372	745	1	864138	73611
ch.5886	825	1	201855	74333
ch.5888	825	1	200314	74333
ch.10999	818	0	405621	74401
ch.5580	783	1	798073	74418
ch.18421	893	2	1001930	76091
ch.8564	771	1	1491720	76544
ch.19013	819	2	180608	76853
ch.9903	771	1	4254710	77419
ch.16293	772	1	28336700	77541
ch.16114	682	2	768778	78684
ch.13302	816	1	134510	80065
ch.8275	850	1	511706	81223
ch.12308	947	1	476203	81381
ch.1535	786	2	12644600	83038
ch.11249	729	1	911828	83662
ch.10581	819	3	1880470	84841
ch.12871	893	2	163374	84867
ch.5501	864	3	2943880	86213
ch.2931	863	1	285847	86447
ch.12331	865	0	330396	86658
ch.12740	776	1	764419	87693
ch.467	807	1	551752	87799
ch.15139	830	1	174200	91007
ch.6278	956	1	6912100	91040
ch.19632	792	1	254861	92437
ch.15022	915	2	1409580	92445
ch.17411	863	1	121829	93919
ch.1065	816	1	360685	93977
ch.10971	902	2	708239	94777
ch.10744	742	1	258604	96763
ch.14625	690	1	6760920	97143
ch.10986	889	2	270096	98262
ch.7764	913	2	136140	98927
ch.1074	884	1	981828	102641
ch.2333	873	1	1923500	103828
ch.10645	879	2	1193980	106159
ch.9675	851	2	227598	106203
ch.7816	798	2	26253800	106689
ch.12775	855	1	2553800	107071
ch.1341	855	0	1205010	109320
ch.17406	967	1	314606	110013
ch.10394	836	2	389491	110206
ch.11331	880	1	759135	110509
ch.16177	766	1	598737	110859
ch.6973	807	2	336020	112571
ch.8122	807	2	425801	113551
ch.6996	938	2	402391	115043
ch.1388	885	2	1911280	117750
ch.18248	819	2	5844340	119270
ch.14350	816	1	489775	120481
ch.17829	829	1	908046	121612
ch.7370	931	2	313630	123607
ch.5505	851	1	633316	124621
ch.16119	724	1	18518100	124937
ch.7375	819	2	440008	125635
ch.13820	1022	1	383776	125993
ch.6242	815	1	415688	127053
ch.8364	963	3	350050	127189
ch.18544	834	2	412520	127989
ch.15142	860	2	333889	128639
ch.1423	895	1	184781	128873
ch.7828	934	3	1259320	129600
ch.8695	869	1	129090	129932
ch.11661	734	2	636447	130710
ch.3817	917	2	105753	132247
ch.9481	1015	2	3094310	132887
ch.1665	704	1	123441	133246
ch.2099	898	2	637508	134794
ch.10821	839	2	696552	135897
ch.10197	761	2	305289	136615
ch.12554	805	1	444973	136845
ch.8970	761	2	23891400	137455
ch.4665	801	1	990833	137931
ch.4745	853	1	440384	145355
ch.12962	711	1	10381000	145367
ch.12829	824	1	986127	146299
ch.7492	949	1	371391	148209
ch.18915	813	1	333507	148542
ch.4774	830	2	741196	149281
ch.7554	1102	2	529118	149964
ch.19341	879	2	3077300	151279
ch.16382	969	1	169025	151754
ch.6451	880	1	650078	152745
ch.18675	718	1	562383	153243
ch.4393	848	1	289274	155678
ch.5500	873	3	571170	156302
ch.5206	831	1	664305	156690
ch.11881	722	2	524483	159535
ch.2331	894	2	15781400	160223
ch.15140	970	1	455117	160462
ch.6187	814	2	237949	163332
ch.12471	884	1	20397900	163405
ch.13942	787	2	409125	163678
ch.4807	943	2	1058410	167987
ch.19999	909	1	3404150	168860
ch.11629	696	1	17221600	169008
ch.14297	859	2	193605	171407
ch.5481	894	2	2757370	174422
ch.14628	728	1	6737860	175075
ch.1877	858	3	167076	175234
ch.1685	912	1	521362	175865
ch.6453	905	2	170942	178578
ch.20284	995	3	9713220	178751
ch.1660	822	2	21546400	178930
ch.3913	796	2	252767	180516
ch.1158	1010	1	1894270	181190
ch.10725	1007	1	1320860	183155
ch.19007	901	1	244182	184243
ch.12965	711	1	10419400	186088
ch.237	756	2	25077000	191995
ch.15614	773	2	142334	193189
ch.1053	897	3	158680	194498
ch.17237	866	1	120355	197293
ch.18043	825	2	1785480	198166
ch.2025	835	1	15866400	201287
ch.3816	1093	2	136564	201405
ch.11657	1005	1	384652	202466
ch.1636	966	2	396498	202772
ch.15300	884	1	303944	203228
ch.15505	1179	1	870637	204923
ch.15124	1077	1	288647	206925
ch.18005	871	2	2315810	208281
ch.18040	820	1	1493440	211138
ch.2892	891	2	1336750	211324
ch.8037	815	2	199264	215214
ch.10937	917	1	262143	216006
ch.6702	874	1	19364600	216467
ch.5673	863	2	29758600	221357
ch.13352	1047	3	255362	221594
ch.8463	968	2	471985	223143
ch.8385	840	2	683935	225079
ch.3979	965	2	101882	225675
ch.15620	875	3	678577	226167
ch.1381	910	2	284272	226552
ch.10019	1064	2	304237	226929
ch.4034	982	2	208393	227069
ch.10906	964	2	3575310	227071
ch.10720	967	1	956447	228948
ch.9862	984	1	3976180	228991
ch.5489	866	2	108490	230997
ch.8352	752	2	506198	232701
ch.5613	809	3	659619	233395
ch.7497	803	1	25112100	234727
ch.18780	889	2	1089230	235614
ch.15112	848	3	171976	236116
ch.19375	932	2	1567900	236705
ch.19716	838	2	107498	239179
ch.8535	917	1	949099	240456
ch.13776	938	2	113070	240734
ch.2485	1039	1	256480	244312
ch.8719	1167	2	243373	246625
ch.7309	966	2	927117	246693
ch.7597	905	3	607587	247247
ch.7301	916	2	422946	247866
ch.2077	1124	2	241238	249707
ch.10087	883	1	185926	250079
ch.10801	799	1	281642	254486
ch.8952	953	1	1031310	256932
ch.15518	895	1	133201	260046
ch.5667	970	2	1409340	261369
ch.16692	890	1	124528	267729
ch.1416	889	1	339066	268591
ch.8432	868	1	451810	271097
ch.8683	908	2	1172270	271759
ch.6144	1055	3	263198	272993
ch.10010	1001	2	429519	277490
ch.7403	934	1	407017	278451
ch.15448	942	2	331188	280219
ch.9254	1002	1	322705	280449
ch.10323	1046	1	123297	286821
ch.1646	1041	2	708288	287573
ch.19263	987	2	407573	289411
ch.8710	871	1	174907	290017
ch.5705	902	2	528887	290487
ch.9823	817	3	115641	291109
ch.11130	960	3	116356	292742
ch.14069	1008	2	1514230	295586
ch.11796	1047	3	165934	296006
ch.11262	918	1	1067920	297071
ch.7126	912	1	164536	297297
ch.2766	827	1	101581	297337
ch.15960	1135	2	130687	301460
ch.18553	897	2	954741	302857
ch.10379	953	2	333695	302975
ch.15108	1024	2	318366	304891
ch.1982	958	1	357439	305300
ch.7718	1030	2	522723	307044
ch.7337	937	2	335698	307273
ch.1599	881	1	484370	308339
ch.10661	912	3	332950	309801
ch.5197	789	1	20234000	310644
ch.10499	911	2	137329	314627
ch.11346	808	2	10222400	315667
ch.4927	1005	2	303051	316573
ch.9778	807	1	2004610	318944
ch.702	793	2	18219200	325706
ch.4256	904	1	198100	328197
ch.12884	894	1	3386360	329768
ch.61	857	2	744722	331002
ch.5053	1037	1	820371	332133
ch.4444	952	2	160198	332182
ch.11335	1122	0	917824	337067
ch.9564	955	1	838935	337998
ch.8474	910	1	175512	339124
ch.17189	969	3	502463	344372
ch.5186	838	3	311963	345794
ch.1250	1048	2	710053	350046
ch.618	858	1	2118700	351692
ch.14293	848	2	16490600	352119
ch.11482	840	2	22203200	354843
ch.4072	962	3	184737	356380
ch.4742	954	3	21054600	359242
ch.6112	873	1	273411	366743
ch.12964	805	1	712540	367472
ch.15331	930	3	461349	368536
ch.14768	1037	2	1603310	369337
ch.19868	1029	1	144646	372719
ch.13075	969	2	192711	374403
ch.9299	928	2	469625	378964
ch.14734	830	1	1331140	380331
ch.15864	1021	1	250490	382005
ch.17246	934	3	115866	382293
ch.2332	934	1	608836	390932
ch.5046	1071	2	204765	391427
ch.8310	971	3	701405	398089
ch.19075	966	2	1699620	404309
ch.595	960	3	6344660	408672
ch.14307	1017	1	1098750	408684
ch.7739	916	3	428536	410392
ch.11940	993	2	504072	421937
ch.10192	1039	2	491874	425484
ch.649	969	2	611986	429983
ch.19125	1016	2	130058	433823
ch.13551	997	3	483304	434308
ch.11321	993	2	476086	437097
ch.6396	922	2	391423	439220
ch.20080	1008	1	2248660	441151
ch.16328	1014	1	205108	448650
ch.1828	998	3	409528	450892
ch.5954	994	3	144976	450963
ch.9518	1004	1	1483150	451403
ch.13786	1045	1	311391	453989
ch.11235	938	1	440875	455623
ch.2886	897	1	20585600	460586
ch.11163	950	1	120937	460710
ch.17511	889	3	565633	474263
ch.14749	989	1	107771	475039
ch.15298	1094	1	629319	477969
ch.15157	1071	0	481083	481465
ch.11959	919	3	776973	486083
ch.15824	862	1	469760	488627
ch.7598	971	1	431528	489714
ch.7204	993	3	202321	494655
ch.1696	941	3	199664	496324
ch.4696	1037	3	340189	497737
ch.1187	1059	2	194251	501510
ch.8827	1084	1	932153	503525
ch.6305	1043	3	754109	518052
ch.5955	1020	2	222895	518083
ch.6239	824	1	299565	523253
ch.7292	986	2	786538	523820
ch.12400	993	0	388794	524289
ch.4700	998	1	156906	527061
ch.4103	862	1	1351070	537319
ch.13873	1097	2	394029	540926
ch.848	977	2	298011	546755
ch.15599	905	2	117002	547444
ch.4286	975	2	505401	548239
ch.15722	910	2	322484	550811
ch.11023	867	3	1017950	555494
ch.5139	1085	1	409403	555630
ch.518	948	2	3344850	564414
ch.9194	1002	3	363697	565654
ch.10295	970	1	409380	567210
ch.1501	1137	1	585788	570667
ch.5431	973	2	7499090	575193
ch.7098	1062	2	1740530	577861
ch.11191	975	1	137223	578444
ch.1162	1023	2	493837	579020
ch.12646	846	2	126997	579950
ch.14735	929	1	1981920	582147
ch.10463	898	2	257520	582919
ch.428	1026	2	434804	583179
ch.8634	961	2	603247	585977
ch.18240	996	1	410430	590737
ch.7139	974	2	245624	592101
ch.14304	1100	2	594018	594003
ch.1866	884	2	1228470	594325
ch.49	1089	3	336256	596104
ch.9356	1062	2	262605	601465
ch.8206	921	3	379858	604887
ch.17331	1010	2	194618	607393
ch.1240	996	3	338179	612452
ch.4556	960	1	6008290	614746
ch.1848	948	2	19199500	619560
ch.18855	966	3	131100	620493
ch.1662	805	1	166961	624984
ch.15093	973	2	333790	636664
ch.4383	876	2	361028	638678
ch.9835	995	1	362056	639122
ch.933	996	1	307685	651518
ch.15856	933	2	258999	652065
ch.2868	1017	1	992348	669719
ch.8030	877	1	18598400	673375
ch.12589	966	1	117022	679018
ch.9086	1057	3	1429520	692134
ch.10847	1161	2	505788	694655
ch.4232	896	1	110750	695685
ch.12430	1124	3	224971	696487
ch.15952	967	1	239493	708242
ch.13612	870	2	771854	713032
ch.9894	988	2	188460	727693
ch.20084	1022	2	569765	733635
ch.9921	856	1	12327400	735525
ch.20167	1139	1	220325	739103
ch.7541	1062	3	607322	742746
ch.11435	1198	3	158770	742839
ch.10510	1077	2	440210	743460
ch.14341	975	3	595881	747384
ch.10806	968	2	149890	748028
ch.8829	1052	2	2843070	748223
ch.19449	1110	3	143290	749468
ch.2035	1123	2	258185	750962
ch.13396	962	1	540002	759484
ch.664	964	2	1384140	762128
ch.6428	954	1	267042	766373
ch.14276	908	2	583577	776826
ch.5719	1024	1	366719	782408
ch.14504	1039	1	1541950	784357
ch.5513	1058	3	203089	791694
ch.1594	964	3	1215740	795075
ch.11578	1031	2	570161	817642
ch.11314	888	3	846256	818947
ch.445	973	2	414589	822270
ch.10916	919	1	479881	827104
ch.2036	987	3	184973	831406
ch.9629	1192	1	4627840	834655
ch.565	948	2	157120	842031
ch.4900	985	1	7694390	842979
ch.10444	1123	2	590799	843403
ch.15835	1038	2	613078	851891
ch.939	1020	2	408400	870781
ch.13918	1067	1	3983710	874383
ch.1411	1113	1	244798	876716
ch.13973	1140	1	1434490	882464
ch.11372	1018	1	1292090	886319
ch.1434	1100	2	236093	894700
ch.1420	1101	2	280585	899064
ch.19344	1167	1	143510	902211
ch.7419	1054	1	427168	915640
ch.473	1111	2	2147340	918630
ch.9255	1017	1	623253	920827
ch.2059	998	2	19388200	921448
ch.1227	1045	2	944320	926297
ch.5445	981	3	375142	934617
ch.13216	989	2	287915	936119
ch.8530	1145	3	303429	939616
ch.7459	1104	1	647096	945338
ch.8128	963	2	463451	947371
ch.4644	1169	3	572448	955432
ch.14736	950	1	1023650	958867
ch.15884	1032	2	2225770	964027
ch.2654	1028	2	2014200	967299
ch.2047	1080	2	365793	981342
ch.1595	1037	3	561508	984799
